127.0.0.1 - - [29/Sep/2015:13:38:03 +0800] "GET / HTTP/1.1" 200 15402
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:04 +0800] "GET / HTTP/1.1" 200 15402
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:04 +0800] "GET /bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:04 +0800] "GET /bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:04 +0800] "GET /datepicker/css/bootstrap-datetimepicker.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:04 +0800] "GET /js/base/jquery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:04 +0800] "GET /datepicker/js/bootstrap-datetimepicker.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:04 +0800] "GET /datepicker/js/bootstrap-datetimepicker.zh-CN.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:04 +0800] "GET /new_homepage/style/home/content.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:04 +0800] "GET /new_homepage/style/common/content.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:04 +0800] "GET /new_homepage/style/common/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:04 +0800] "GET /new_homepage/images/360.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:04 +0800] "GET /new_homepage/images/chrome.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:04 +0800] "GET /new_homepage/images/maxthon-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:04 +0800] "GET /new_homepage/images/browser-icon-firefox.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:04 +0800] "GET /new_homepage/images/Opera.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:04 +0800] "GET /new_homepage/images/sogou.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:04 +0800] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:04 +0800] "GET /new_homepage/js/home/checkbrowser.js HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:04 +0800] "GET /js/base/tiny_mce.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:04 +0800] "GET /js/base/jquery.masonry.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:04 +0800] "GET /new_homepage/js/features.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:05 +0800] "GET /img/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:05 +0800] "GET /new_homepage/images/bg0.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:05 +0800] "GET /new_homepage/style/images/arrow.gif HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:09 +0800] "GET / HTTP/1.1" 200 15402
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:09 +0800] "GET /bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:09 +0800] "GET /datepicker/css/bootstrap-datetimepicker.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:09 +0800] "GET /bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:09 +0800] "GET /js/base/jquery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:09 +0800] "GET /new_homepage/style/common/content.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:09 +0800] "GET /new_homepage/style/home/content.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:09 +0800] "GET /new_homepage/style/common/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:09 +0800] "GET /datepicker/js/bootstrap-datetimepicker.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:09 +0800] "GET /datepicker/js/bootstrap-datetimepicker.zh-CN.js HTTP/1.1" 304 -
